Date,SolarRad
3/1/2014 0:00,0
3/1/2014 0:30,0
3/1/2014 1:00,0
3/1/2014 1:30,0
3/1/2014 2:00,0
3/1/2014 2:30,0
3/1/2014 3:00,0
3/1/2014 3:30,0
3/1/2014 4:00,0
3/1/2014 4:30,0
3/1/2014 5:00,0
3/1/2014 5:30,0
3/1/2014 6:00,0
3/1/2014 6:30,9
3/1/2014 7:00,23
3/1/2014 7:30,56
3/1/2014 8:00,157
3/1/2014 8:30,215
3/1/2014 9:00,170
3/1/2014 9:30,287
3/1/2014 10:00,204
3/1/2014 10:30,276
3/1/2014 11:00,154
3/1/2014 11:30,211
3/1/2014 12:00,203
3/1/2014 12:30,278
3/1/2014 13:00,206
3/1/2014 13:30,175
3/1/2014 14:00,202
3/1/2014 14:30,83
3/1/2014 15:00,71
3/1/2014 15:30,58
3/1/2014 16:00,83
3/1/2014 16:30,28
3/1/2014 17:00,8
3/1/2014 17:30,0
3/1/2014 18:00,0
3/1/2014 18:30,0
3/1/2014 19:00,0
3/1/2014 19:30,0
3/1/2014 20:00,0
3/1/2014 20:30,0
3/1/2014 21:00,0
3/1/2014 21:30,0
3/1/2014 22:00,0
3/1/2014 22:30,0
3/1/2014 23:00,0
3/1/2014 23:30,0
3/2/2014 0:00,0
3/2/2014 0:30,0
3/2/2014 1:00,0
3/2/2014 1:30,0
3/2/2014 2:00,0
3/2/2014 2:30,0
3/2/2014 3:00,0
3/2/2014 3:30,0
3/2/2014 4:00,0
3/2/2014 4:30,0
3/2/2014 5:00,0
3/2/2014 5:30,0
3/2/2014 6:00,0
3/2/2014 6:30,8
3/2/2014 7:00,46
3/2/2014 7:30,79
3/2/2014 8:00,79
3/2/2014 8:30,83
3/2/2014 9:00,136
3/2/2014 9:30,194
3/2/2014 10:00,202
3/2/2014 10:30,243
3/2/2014 11:00,308
3/2/2014 11:30,246
3/2/2014 12:00,287
3/2/2014 12:30,210
3/2/2014 13:00,112
3/2/2014 13:30,115
3/2/2014 14:00,142
3/2/2014 14:30,84
3/2/2014 15:00,57
3/2/2014 15:30,28
3/2/2014 16:00,12
3/2/2014 16:30,9
3/2/2014 17:00,1
3/2/2014 17:30,0
3/2/2014 18:00,0
3/2/2014 18:30,0
3/2/2014 19:00,0
3/2/2014 19:30,0
3/2/2014 20:00,0
3/2/2014 20:30,0
3/2/2014 21:00,0
3/2/2014 21:30,0
3/2/2014 22:00,0
3/2/2014 22:30,0
3/2/2014 23:00,0
3/2/2014 23:30,0
3/3/2014 0:00,0
3/3/2014 0:30,0
3/3/2014 1:00,0
3/3/2014 1:30,0
3/3/2014 2:00,0
3/3/2014 2:30,0
3/3/2014 3:00,0
3/3/2014 3:30,0
3/3/2014 4:00,0
3/3/2014 4:30,0
3/3/2014 5:00,0
3/3/2014 5:30,0
3/3/2014 6:00,0
3/3/2014 6:30,5
3/3/2014 7:00,34
3/3/2014 7:30,74
3/3/2014 8:00,53
3/3/2014 8:30,154
