Date,Hum
3/1/2014 0:00,93
3/1/2014 0:30,93
3/1/2014 1:00,93
3/1/2014 1:30,93
3/1/2014 2:00,90
3/1/2014 2:30,89
3/1/2014 3:00,90
3/1/2014 3:30,90
3/1/2014 4:00,92
3/1/2014 4:30,92
3/1/2014 5:00,93
3/1/2014 5:30,94
3/1/2014 6:00,93
3/1/2014 6:30,93
3/1/2014 7:00,91
3/1/2014 7:30,91
3/1/2014 8:00,92
3/1/2014 8:30,92
3/1/2014 9:00,90
3/1/2014 9:30,91
3/1/2014 10:00,90
3/1/2014 10:30,88
3/1/2014 11:00,88
3/1/2014 11:30,88
3/1/2014 12:00,89
3/1/2014 12:30,90
3/1/2014 13:00,92
3/1/2014 13:30,93
3/1/2014 14:00,92
3/1/2014 14:30,93
3/1/2014 15:00,94
3/1/2014 15:30,93
3/1/2014 16:00,94
3/1/2014 16:30,93
3/1/2014 17:00,93
3/1/2014 17:30,93
3/1/2014 18:00,93
3/1/2014 18:30,91
3/1/2014 19:00,93
3/1/2014 19:30,94
3/1/2014 20:00,91
3/1/2014 20:30,90
3/1/2014 21:00,90
3/1/2014 21:30,90
3/1/2014 22:00,91
3/1/2014 22:30,91
3/1/2014 23:00,89
3/1/2014 23:30,91
3/2/2014 0:00,91
3/2/2014 0:30,90
3/2/2014 1:00,89
3/2/2014 1:30,91
3/2/2014 2:00,89
3/2/2014 2:30,92
3/2/2014 3:00,92
3/2/2014 3:30,92
3/2/2014 4:00,93
3/2/2014 4:30,92
3/2/2014 5:00,93
3/2/2014 5:30,93
3/2/2014 6:00,91
3/2/2014 6:30,85
3/2/2014 7:00,86
3/2/2014 7:30,87
3/2/2014 8:00,89
3/2/2014 8:30,89
3/2/2014 9:00,89
3/2/2014 9:30,88
3/2/2014 10:00,87
3/2/2014 10:30,84
3/2/2014 11:00,83
3/2/2014 11:30,80
3/2/2014 12:00,78
3/2/2014 12:30,77
3/2/2014 13:00,76
3/2/2014 13:30,73
3/2/2014 14:00,74
3/2/2014 14:30,75
3/2/2014 15:00,78
3/2/2014 15:30,79
3/2/2014 16:00,80
3/2/2014 16:30,82
3/2/2014 17:00,83
3/2/2014 17:30,86
3/2/2014 18:00,87
3/2/2014 18:30,88
3/2/2014 19:00,90
3/2/2014 19:30,91
3/2/2014 20:00,91
3/2/2014 20:30,91
3/2/2014 21:00,91
3/2/2014 21:30,91
3/2/2014 22:00,90
3/2/2014 22:30,91
3/2/2014 23:00,90
3/2/2014 23:30,90
3/3/2014 0:00,91
3/3/2014 0:30,91
3/3/2014 1:00,93
3/3/2014 1:30,93
3/3/2014 2:00,94
3/3/2014 2:30,95
3/3/2014 3:00,95
3/3/2014 3:30,95
3/3/2014 4:00,93
3/3/2014 4:30,89
3/3/2014 5:00,90
3/3/2014 5:30,91
3/3/2014 6:00,91
3/3/2014 6:30,90
3/3/2014 7:00,87
3/3/2014 7:30,88
3/3/2014 8:00,87
3/3/2014 8:30,89
3/3/2014 9:00,84
3/3/2014 9:30,89
3/3/2014 10:00,89
3/3/2014 10:30,86
3/3/2014 11:00,82
3/3/2014 11:30,80
3/3/2014 12:00,81
3/3/2014 12:30,80
3/3/2014 13:00,82
3/3/2014 13:30,81
3/3/2014 14:00,85
3/3/2014 14:30,81
3/3/2014 15:00,79
3/3/2014 15:30,80
3/3/2014 16:00,79
3/3/2014 16:30,78
3/3/2014 17:00,77
3/3/2014 17:30,75
3/3/2014 18:00,77
3/3/2014 18:30,82
3/3/2014 19:00,83
3/3/2014 19:30,83
3/3/2014 20:00,80
3/3/2014 20:30,80
3/3/2014 21:00,76
3/3/2014 21:30,71
3/3/2014 22:00,68
3/3/2014 22:30,69
3/3/2014 23:00,72
3/3/2014 23:30,79
3/4/2014 0:00,83
3/4/2014 0:30,87
3/4/2014 1:00,88
3/4/2014 1:30,87
3/4/2014 2:00,85
3/4/2014 2:30,86
3/4/2014 3:00,88
3/4/2014 3:30,88
3/4/2014 4:00,89
3/4/2014 4:30,90
3/4/2014 5:00,88
3/4/2014 5:30,86
3/4/2014 6:00,86
3/4/2014 6:30,88
3/4/2014 7:00,92
3/4/2014 7:30,91
3/4/2014 8:00,89
3/4/2014 8:30,91
3/4/2014 9:00,92
3/4/2014 9:30,91
3/4/2014 10:00,88
3/4/2014 10:30,87
3/4/2014 11:00,85
3/4/2014 11:30,86
3/4/2014 12:00,87
3/4/2014 12:30,86
3/4/2014 13:00,87
3/4/2014 13:30,87
3/4/2014 14:00,85
3/4/2014 14:30,86
3/4/2014 15:00,85
3/4/2014 15:30,85
3/4/2014 16:00,87
3/4/2014 16:30,91
3/4/2014 17:00,90
3/4/2014 17:30,91
3/4/2014 18:00,92
3/4/2014 18:30,91
3/4/2014 19:00,92
3/4/2014 19:30,91
3/4/2014 20:00,90
3/4/2014 20:30,88
3/4/2014 21:00,86
3/4/2014 21:30,85
3/4/2014 22:00,87
3/4/2014 22:30,87
3/4/2014 23:00,89
3/4/2014 23:30,88
3/5/2014 0:00,89
3/5/2014 0:30,89
3/5/2014 1:00,89
3/5/2014 1:30,90
3/5/2014 2:00,91
3/5/2014 2:30,90
3/5/2014 3:00,90
3/5/2014 3:30,89
3/5/2014 4:00,89
3/5/2014 4:30,89
3/5/2014 5:00,90
3/5/2014 5:30,91
3/5/2014 6:00,91
3/5/2014 6:30,91
3/5/2014 7:00,91
3/5/2014 7:30,91
3/5/2014 8:00,91
3/5/2014 8:30,92
3/5/2014 9:00,92
3/5/2014 9:30,90
3/5/2014 10:00,90
3/5/2014 10:30,89
3/5/2014 11:00,87
3/5/2014 11:30,83
3/5/2014 12:00,84
3/5/2014 12:30,83
3/5/2014 13:00,85
3/5/2014 13:30,86
3/5/2014 14:00,88
3/5/2014 14:30,90
3/5/2014 15:00,88
3/5/2014 15:30,87
3/5/2014 16:00,87
3/5/2014 16:30,88
3/5/2014 17:00,88
3/5/2014 17:30,89
3/5/2014 18:00,89
3/5/2014 18:30,89
3/5/2014 19:00,86
3/5/2014 19:30,90
3/5/2014 20:00,91
3/5/2014 20:30,94
3/5/2014 21:00,95
3/5/2014 21:30,95
3/5/2014 22:00,95
3/5/2014 22:30,95
3/5/2014 23:00,95
3/5/2014 23:30,96
3/6/2014 0:00,95
